config_name,alpha,gamma,epsilon_start,epsilon_min,epsilon_decay,num_episodes,avg_score,final_epsilon,execution_time_sec
config_1,0.1,0.95,1.0,0.05,0.995,1000,1.0,0.05,0.31392812728881836
config_1,0.1,0.95,1.0,0.05,0.995,10000,1.0,0.05,3.502120018005371
config_1,0.1,0.95,1.0,0.05,0.995,100000,1.0,0.05,34.655494928359985
config_1,0.1,0.95,1.0,0.05,0.995,1000000,1.0,0.05,354.67020177841187
config_2,0.05,0.99,1.0,0.1,0.99,1000,1.0,0.1,0.3437008857727051
config_2,0.05,0.99,1.0,0.1,0.99,10000,1.0,0.1,3.489225149154663
config_2,0.05,0.99,1.0,0.1,0.99,100000,1.0,0.1,35.50232124328613
config_2,0.05,0.99,1.0,0.1,0.99,1000000,1.0,0.1,355.112699508667
config_3,0.2,0.9,1.0,0.05,0.98,1000,1.0,0.05,0.34500908851623535
config_3,0.2,0.9,1.0,0.05,0.98,10000,1.0,0.05,3.419745922088623
config_3,0.2,0.9,1.0,0.05,0.98,100000,1.0,0.05,33.50778865814209
config_3,0.2,0.9,1.0,0.05,0.98,1000000,1.0,0.05,349.14412331581116
