config_name,avg_move_time_sec,epsilon_decay,alpha,agent,epsilon,epsilon_min,gamma,name,env,execution_time_sec,num_episodes,avg_score
config_1_1000ep,0.00031392812728881837,0.995,0.1,TabularQL,1.0,0.05,0.95,config_1,GridWorld,0.32,1000,1.0
config_1_10000ep,0.0003502120018005371,0.995,0.1,TabularQL,1.0,0.05,0.95,config_1,GridWorld,3.5,10000,1.0
config_1_100000ep,0.00034655494928359986,0.995,0.1,TabularQL,1.0,0.05,0.95,config_1,GridWorld,34.66,100000,1.0
config_1_1000000ep,0.00035467020177841187,0.995,0.1,TabularQL,1.0,0.05,0.95,config_1,GridWorld,354.67,1000000,1.0
config_2_1000ep,0.0003437008857727051,0.99,0.05,TabularQL,1.0,0.1,0.99,config_2,GridWorld,0.35,1000,1.0
config_2_10000ep,0.0003489225149154663,0.99,0.05,TabularQL,1.0,0.1,0.99,config_2,GridWorld,3.49,10000,1.0
config_2_100000ep,0.00035502321243286133,0.99,0.05,TabularQL,1.0,0.1,0.99,config_2,GridWorld,35.51,100000,1.0
config_2_1000000ep,0.000355112699508667,0.99,0.05,TabularQL,1.0,0.1,0.99,config_2,GridWorld,355.12,1000000,1.0
config_3_1000ep,0.0003450090885162354,0.98,0.2,TabularQL,1.0,0.05,0.9,config_3,GridWorld,0.35,1000,1.0
config_3_10000ep,0.0003419745922088623,0.98,0.2,TabularQL,1.0,0.05,0.9,config_3,GridWorld,3.42,10000,1.0
config_3_100000ep,0.0003350778865814209,0.98,0.2,TabularQL,1.0,0.05,0.9,config_3,GridWorld,33.51,100000,1.0
config_3_1000000ep,0.00034914412331581114,0.98,0.2,TabularQL,1.0,0.05,0.9,config_3,GridWorld,349.15,1000000,1.0
