config_name,agent,env,num_episodes,avg_score,execution_time_sec,avg_steps,avg_move_time_sec,name,state_dim,action_dim,hidden_dim,lr,lr_min,num_simulations,c_puct,games_per_batch,total_games,train_epochs,train_batch_size,eval_games,eval_every,buffer_size,num_workers
az_200sims_v2_100000g,AlphaZero,Quarto,1000,0.93,25199.17,20.6,0.02070655193163719,az_200sims_v2,69,32,256,0.001,0.0001,200,1.5,200,100000,10,256,100,1000,50000,6
az_200sims_v2_100000g,AlphaZero,Quarto,2000,0.9,25199.17,21.34,0.02070655193163719,az_200sims_v2,69,32,256,0.001,0.0001,200,1.5,200,100000,10,256,100,1000,50000,6
az_200sims_v2_100000g,AlphaZero,Quarto,3000,0.97,25199.17,20.98,0.02070655193163719,az_200sims_v2,69,32,256,0.001,0.0001,200,1.5,200,100000,10,256,100,1000,50000,6
az_200sims_v2_100000g,AlphaZero,Quarto,4000,0.97,25199.17,21.48,0.02070655193163719,az_200sims_v2,69,32,256,0.001,0.0001,200,1.5,200,100000,10,256,100,1000,50000,6
az_200sims_v2_100000g,AlphaZero,Quarto,5000,0.96,25199.17,20.54,0.02070655193163719,az_200sims_v2,69,32,256,0.001,0.0001,200,1.5,200,100000,10,256,100,1000,50000,6
az_200sims_v2_100000g,AlphaZero,Quarto,6000,0.92,25199.17,20.88,0.02070655193163719,az_200sims_v2,69,32,256,0.001,0.0001,200,1.5,200,100000,10,256,100,1000,50000,6
az_200sims_v2_100000g,AlphaZero,Quarto,7000,0.92,25199.17,21.36,0.02070655193163719,az_200sims_v2,69,32,256,0.001,0.0001,200,1.5,200,100000,10,256,100,1000,50000,6
az_200sims_v2_100000g,AlphaZero,Quarto,8000,0.97,25199.17,20.82,0.02070655193163719,az_200sims_v2,69,32,256,0.001,0.0001,200,1.5,200,100000,10,256,100,1000,50000,6
az_200sims_v2_100000g,AlphaZero,Quarto,9000,0.92,25199.17,21.38,0.02070655193163719,az_200sims_v2,69,32,256,0.001,0.0001,200,1.5,200,100000,10,256,100,1000,50000,6
az_200sims_v2_100000g,AlphaZero,Quarto,10000,0.99,25199.17,20.62,0.02070655193163719,az_200sims_v2,69,32,256,0.001,0.0001,200,1.5,200,100000,10,256,100,1000,50000,6
az_200sims_v2_100000g,AlphaZero,Quarto,11000,1.0,25199.17,21.84,0.02070655193163719,az_200sims_v2,69,32,256,0.001,0.0001,200,1.5,200,100000,10,256,100,1000,50000,6
az_200sims_v2_100000g,AlphaZero,Quarto,12000,0.99,25199.17,21.16,0.02070655193163719,az_200sims_v2,69,32,256,0.001,0.0001,200,1.5,200,100000,10,256,100,1000,50000,6
az_200sims_v2_100000g,AlphaZero,Quarto,13000,0.97,25199.17,21.28,0.02070655193163719,az_200sims_v2,69,32,256,0.001,0.0001,200,1.5,200,100000,10,256,100,1000,50000,6
az_200sims_v2_100000g,AlphaZero,Quarto,14000,0.98,25199.17,21.36,0.02070655193163719,az_200sims_v2,69,32,256,0.001,0.0001,200,1.5,200,100000,10,256,100,1000,50000,6
az_200sims_v2_100000g,AlphaZero,Quarto,15000,0.96,25199.17,20.98,0.02070655193163719,az_200sims_v2,69,32,256,0.001,0.0001,200,1.5,200,100000,10,256,100,1000,50000,6
az_200sims_v2_100000g,AlphaZero,Quarto,16000,0.94,25199.17,21.66,0.02070655193163719,az_200sims_v2,69,32,256,0.001,0.0001,200,1.5,200,100000,10,256,100,1000,50000,6
az_200sims_v2_100000g,AlphaZero,Quarto,17000,0.98,25199.17,20.98,0.02070655193163719,az_200sims_v2,69,32,256,0.001,0.0001,200,1.5,200,100000,10,256,100,1000,50000,6
az_200sims_v2_100000g,AlphaZero,Quarto,18000,0.94,25199.17,21.0,0.02070655193163719,az_200sims_v2,69,32,256,0.001,0.0001,200,1.5,200,100000,10,256,100,1000,50000,6
