agent,config,training_episodes,policy_avg_score,eval_episodes
random,config_1,1000,0.3,100
tabular_qlearning,config_1,1000,0.75,100
tabular_qlearning,config_1,10000,0.92,100
tabular_qlearning,config_1,100000,0.93,100
tabular_qlearning,config_1,1000000,0.98,100
tabular_qlearning,config_2,1000,0.89,100
tabular_qlearning,config_2,10000,0.92,100
tabular_qlearning,config_2,100000,0.99,100
tabular_qlearning,config_2,1000000,1.0,100
tabular_qlearning,config_3,1000,0.92,100
tabular_qlearning,config_3,10000,0.94,100
tabular_qlearning,config_3,100000,1.0,100
tabular_qlearning,config_3,1000000,0.98,100
dqn,config_1,1000,0.84,100
dqn,config_1,10000,0.91,100
dqn,config_2,1000,0.94,100
dqn,config_2,10000,0.98,100
dqn,config_3,1000,0.93,100
dqn,config_3,10000,0.99,100
